DATE,CES0500000003
2006-03-01,20.04
2006-04-01,20.16
2006-05-01,20.14
2006-06-01,20.23
2006-07-01,20.30
2006-08-01,20.32
2006-09-01,20.41
2006-10-01,20.44
2006-11-01,20.49
2006-12-01,20.57
2007-01-01,20.60
2007-02-01,20.68
2007-03-01,20.73
2007-04-01,20.78
2007-05-01,20.84
2007-06-01,20.95
2007-07-01,20.96
2007-08-01,21.00
2007-09-01,21.05
2007-10-01,21.07
2007-11-01,21.12
2007-12-01,21.18
2008-01-01,21.20
2008-02-01,21.26
2008-03-01,21.36
2008-04-01,21.37
2008-05-01,21.48
2008-06-01,21.53
2008-07-01,21.60
2008-08-01,21.70
2008-09-01,21.73
2008-10-01,21.76
2008-11-01,21.88
2008-12-01,21.94
2009-01-01,21.97
2009-02-01,21.99
2009-03-01,22.06
2009-04-01,22.10
2009-05-01,22.11
2009-06-01,22.14
2009-07-01,22.18
2009-08-01,22.23
2009-09-01,22.26
2009-10-01,22.31
2009-11-01,22.36
2009-12-01,22.36
2010-01-01,22.42
2010-02-01,22.45
2010-03-01,22.46
2010-04-01,22.49
2010-05-01,22.53
2010-06-01,22.53
2010-07-01,22.59
2010-08-01,22.62
2010-09-01,22.67
2010-10-01,22.74
2010-11-01,22.73
2010-12-01,22.76
2011-01-01,22.85
2011-02-01,22.87
2011-03-01,22.88
2011-04-01,22.92
2011-05-01,22.99
2011-06-01,23.01
2011-07-01,23.11
2011-08-01,23.07
2011-09-01,23.11
2011-10-01,23.21
2011-11-01,23.19
2011-12-01,23.21
2012-01-01,23.24
2012-02-01,23.28
2012-03-01,23.36
2012-04-01,23.40
2012-05-01,23.40
2012-06-01,23.47
2012-07-01,23.52
2012-08-01,23.50
2012-09-01,23.58
2012-10-01,23.56
2012-11-01,23.63
2012-12-01,23.73
2013-01-01,23.76
2013-02-01,23.78
2013-03-01,23.81
2013-04-01,23.88
2013-05-01,23.90
2013-06-01,23.97
2013-07-01,23.99
2013-08-01,24.03
2013-09-01,24.06
2013-10-01,24.09
2013-11-01,24.16
2013-12-01,24.17
2014-01-01,24.21
2014-02-01,24.32
2014-03-01,24.31
2014-04-01,24.34
2014-05-01,24.40
2014-06-01,24.44
2014-07-01,24.48
2014-08-01,24.55
2014-09-01,24.56
2014-10-01,24.58
2014-11-01,24.65
2014-12-01,24.65
2015-01-01,24.74
2015-02-01,24.79
2015-03-01,24.85
2015-04-01,24.89
2015-05-01,24.97
2015-06-01,24.99
2015-07-01,25.01
2015-08-01,25.09
2015-09-01,25.12
2015-10-01,25.20
2015-11-01,25.25
2015-12-01,25.26
2016-01-01,25.37
2016-02-01,25.39
2016-03-01,25.46
2016-04-01,25.54
2016-05-01,25.57
2016-06-01,25.64
2016-07-01,25.70
2016-08-01,25.73
2016-09-01,25.78
2016-10-01,25.87
2016-11-01,25.91
2016-12-01,25.93
2017-01-01,25.98
2017-02-01,26.08
2017-03-01,26.11
2017-04-01,26.17
2017-05-01,26.22
2017-06-01,26.28
2017-07-01,26.36
2017-08-01,26.39
2017-09-01,26.51
2017-10-01,26.47
2017-11-01,26.55
2017-12-01,26.64
2018-01-01,26.71
2018-02-01,26.75
2018-03-01,26.84
2018-04-01,26.90
2018-05-01,26.99
2018-06-01,27.05
2018-07-01,27.11
2018-08-01,27.23
2018-09-01,27.30
2018-10-01,27.35
2018-11-01,27.43
2018-12-01,27.53
2019-01-01,27.56
2019-02-01,27.66
2019-03-01,27.71
2019-04-01,27.75
2019-05-01,27.82
2019-06-01,27.91
2019-07-01,27.99
2019-08-01,28.11
2019-09-01,28.12
2019-10-01,28.18
